id,類型,鄉鎮,name,幼兒園電話,addr,核定總招收人數,收費金額,center_longitude,center_latitudes,locality_ids,dist
154,公立,北投區,臺北市北投區文林國民小學附設幼兒園,(02)28234212#800,臺北市北投區文林北路155號,174,21588.0,121.514105,25.105847,locality.63621863,北投區
155,公立,北投區,臺北市北投區北投國民小學附設幼兒園,(02)28912052#266,臺北市北投區中央北路一段73號,204,21588.0,121.49962,25.133978,locality.63621863,北投區
156,公立,北投區,臺北市北投區石牌國民小學附設幼兒園,(02)28227484#170,臺北市北投區致遠二路80號,210,21588.0,121.512264,25.115309,locality.63621863,北投區
157,公立,北投區,臺北市北投區立農國民小學附設幼兒園,(02)28210702#600,臺北市北投區立農街一段250號,128,21588.0,121.504702,25.118934,locality.63621863,北投區
158,公立,北投區,臺北市北投區明德國民小學附設幼兒園,(02)28229651#1501,臺北市北投區明德路190號,120,21588.0,121.522363,25.11189,locality.63621863,北投區
159,公立,北投區,臺北市北投區泉源國民小學附設幼兒園,(02)28951258#161,臺北市北投區東昇路34號,30,21588.0,121.524225,25.149388,locality.63621863,北投區
160,公立,北投區,臺北市北投區桃源國民小學附設幼兒園,(02)28941208#173,臺北市北投區中央北路三段40巷45號,60,21588.0,121.483514,25.140237,locality.63621863,北投區
161,公立,北投區,臺北市北投區清江國民小學附設幼兒園,(02)28912764#600,臺北市北投區公館路220號,120,21588.0,121.506727,25.126418,locality.63621863,北投區
162,公立,北投區,臺北市北投區湖山國民小學附設幼兒園,(02)28610259#140,臺北市北投區湖底路11號,30,21588.0,121.535923,25.150095,locality.63621863,北投區
163,公立,北投區,臺北市北投區湖田國民小學附設幼兒園,(02)28616963#50,臺北市北投區竹子湖路17之2號,30,21588.0,121.541673,25.166246,locality.63621863,北投區
164,公立,北投區,臺北市北投區逸仙國民小學附設幼兒園,(02)28957073,臺北市北投區新民路2號,166,21588.0,121.505477,25.137954,locality.63621863,北投區
165,公立,北投區,臺北市北投區義方國民小學附設幼兒園,(02)28917433#271,臺北市北投區珠海路155號,90,21588.0,121.509279,25.14256,locality.63621863,北投區
166,公立,北投區,臺北市北投區關渡國民小學附設幼兒園,(02)28912847#861,臺北市北投區中央北路四段581號,150,21588.0,121.466576,25.126353,locality.63621863,北投區
167,非營利,大安區,臺北市正義非營利幼兒園（委託社團法人中華婦幼發展協會辦理）,(02)27726656,臺北市大安區忠孝東路三段216巷4弄41號,144,0.0,121.5392223,25.0411908,locality.63654631,大安區
168,非營利,文山區,臺北市永建非營利幼兒園（委託社團法人台北市教保人員協會辦理）,(02)22347257,臺北市文山區木柵路一段311巷1號,106,0.0,121.555916,24.989335,locality.63662823,文山區
169,公立,士林區,臺北市立士林幼兒園,(02)28853842,臺北市士林區通河街179巷2號,150,21588.0,121.519465,25.081845,locality.63638247,士林區
170,公立,大同區,臺北市立大同幼兒園,(02)25595901,臺北市大同區南京西路64巷9弄8號,180,21588.0,121.5193575,25.0523967,locality.63646439,大同區
171,公立,大安區,臺北市立大安幼兒園,(02)27551211,臺北市大安區四維路198巷31弄11號,210,21588.0,121.546668,25.028243,locality.63654631,大安區
172,公立,中正區,臺北市立大學附設實驗國民小學附設幼兒園,(02)23117991,臺北市中正區公園路29號1樓,196,21588.0,121.515826,25.036192,locality.63597287,中正區
173,公立,中山區,臺北市立中山幼兒園,(02)25336738,臺北市中山區大直街25號1、2樓,270,21588.0,121.546748,25.081879,locality.63589095,中山區
174,公立,中正區,臺北市立中正幼兒園,(02)23933620,臺北市中正區濟南路二段46號2樓,150,21588.0,121.53085,25.040307,locality.63597287,中正區
175,公立,內湖區,臺北市立內湖幼兒園,(02)27993223,臺北市內湖區陽光街265巷9號,212,21588.0,121.580252,25.0736888,locality.63613671,內湖區
176,公立,文山區,臺北市立文山幼兒園,(02)29395526#11,臺北市文山區興隆路四段105巷1號,240,21588.0,121.560793,24.987806,locality.63662823,文山區
177,公立,北投區,臺北市立北投幼兒園,(02)28237022,臺北市北投區明德路208巷5號,150,21588.0,121.522129,25.11359,locality.63621863,北投區
178,公立,松山區,臺北市立松山幼兒園,(02)27181189,臺北市松山區敦化北路199巷5號2樓,180,21588.0,121.552273396685,25.05607255,locality.63671015,松山區
179,公立,中山區,臺北市立育航幼兒園,(02)25178372#210,臺北市中山區長春路256號,278,21588.0,121.53876,25.054452,locality.63589095,中山區
180,公立,信義區,臺北市立信義幼兒園,(02)27297527,臺北市信義區基隆路一段364巷20、24號,240,21588.0,121.5594817,25.0353403,locality.63605479,信義區
181,公立,萬華區,臺北市立南海實驗幼兒園,(02)23022984,臺北市萬華區西藏路424號,346,21588.0,121.497685,25.029683,locality.63679207,萬華區
182,公立,南港區,臺北市立南港幼兒園,(02)27825081,臺北市南港區重陽路199巷28號,150,21588.0,121.6087281,25.0566198,locality.63630055,南港區
183,私立,南港區,臺北市立南港高級中學教師會附設臺北市私立員工子女幼兒園,(02)27837863#297,臺北市南港區向陽路21號1樓,40,,121.594434,25.052255,locality.63630055,南港區
184,準公共,松山區,臺北市立敦化國民中學教師會附設臺北市私立員工子女幼兒園,(02)87717890#317,臺北市松山區南京東路3段300號2樓,32,,121.557637,25.051756,locality.63671015,松山區
185,公立,萬華區,臺北市立萬華幼兒園,(02)23020936,臺北市萬華區梧州街36號、36號2樓之1,150,21588.0,121.497581,25.035753,locality.63679207,萬華區
186,非營利,信義區,臺北市吉中非營利幼兒園(委託財團法人台北基督教女青年會辦理),(02)2768-1159,臺北市信義區松隆路161號,152,0.0,121.573649,25.048328,locality.63605479,信義區
187,非營利,北投區,臺北市吉利非營利幼兒園(委託社團法人台北市親子成長協會辦理),(02)28200118,臺北市北投區立農街一段366號1至3樓,147,0.0,121.506491,25.11946,locality.63621863,北投區
188,非營利,南港區,臺北市向陽非營利幼兒園（委託社團法人嬰幼兒教育與家庭發展協會辦理）,(02)2785-6151,臺北市南港區向陽路31號,106,0.0,121.593777,25.053722,locality.63630055,南港區
189,非營利,大安區,臺北市安東非營利幼兒園（委託社團法人台北市兒童托育協會辦理）,(02)27067642,臺北市大安區瑞安街75號2樓,182,0.0,121.541102,25.028211,locality.63654631,大安區
190,非營利,內湖區,臺北市西中非營利幼兒園(委託財團法人靖娟兒童安全文教基金會辦理),(02)2797-0700,臺北市內湖區環山路一段27號,152,0.0,121.56622,25.085192,locality.63613671,內湖區
191,準公共,北投區,臺北市私立一德幼兒園,(02)28215755,臺北市北投區明德路136巷9號1樓,120,80560.0,121.5211331,25.1098869,locality.63621863,北投區
192,私立,大安區,臺北市私立人安幼兒園,(02)27041113,臺北市大安區四維路154巷19號1樓,24,89500.0,121.546464,25.031007,locality.63654631,大安區
193,私立,士林區,臺北市私立十大幼兒園,(02)28749113,臺北市士林區天母東路92號1樓,60,132480.0,121.535825,25.118088,locality.63638247,士林區
194,私立,松山區,臺北市私立三民幼兒園,(02)27651882,臺北市松山區民生東路五段69巷2弄37號,180,72150.0,121.5591937,25.0592565,locality.63671015,松山區
195,私立,大安區,臺北市私立三愛幼兒園,(02)23680388,臺北市大安區溫州街48巷15號1樓,30,,121.532347,25.021473,locality.63654631,大安區
196,私立,大安區,臺北市私立三暉幼兒園,(02)23225491,臺北市大安區和平東路一段91號2樓,99,78600.0,121.525793,25.026896,locality.63654631,大安區
197,準公共,文山區,臺北市私立三義幼兒園,(02)86619636,臺北市文山區木柵路三段48巷1弄16號,50,64170.0,121.5653161,24.9877206,locality.63662823,文山區
198,私立,大安區,臺北市私立上愛幼兒園,(02)23629886,臺北市大安區溫州街52巷14號1樓,23,121600.0,121.53247594999999,25.02100275,locality.63654631,大安區
199,私立,大安區,臺北市私立上群蒙特梭利幼兒園,(02)87719739,臺北市大安區仁愛路3段123巷5號,50,,121.543873,25.038152,locality.63654631,大安區
200,私立,信義區,臺北市私立上群蒙特梭利忠孝幼兒園,(02)27691208,臺北市信義區忠孝東路5段207號1、2樓,60,75000.0,121.564579,25.041104,locality.63605479,信義區
201,私立,信義區,臺北市私立上群蒙特梭利信義幼兒園,(02)27693636,臺北市信義區忠孝東路5段217號,75,99000.0,121.564579,25.041104,locality.63605479,信義區
202,私立,大安區,臺北市私立上學趣蒙特梭利幼兒園,(02)87739963,臺北市大安區忠孝東路3段251巷9弄 8、10號1樓,30,194255.0,121.543838,25.041556,locality.63654631,大安區
203,準公共,文山區,臺北市私立千千幼兒園,(02)29397502,臺北市文山區木柵路三段85巷8弄5號,52,59266.0,121.5668695,24.9893597,locality.63662823,文山區
204,私立,士林區,臺北市私立士林科見幼兒園,(02)28332398,臺北市士林區中山北路五段608、610號1、2樓,108,,121.527342276049,25.09255725,locality.63638247,士林區
205,私立,南港區,臺北市私立大大樹幼兒園,(02)27851516,臺北市南港區玉成街46及48號1樓,61,108120.0,121.581717,25.050483,locality.63630055,南港區
206,準公共,南港區,臺北市私立大方凌雲幼兒園,(02)27820190,臺北市南港區研究院路三段2巷2、6、8號1樓,62,51000.0,121.608735317927,25.03628115,locality.63630055,南港區
207,準公共,大安區,臺北市私立大成幼兒園,(02)23697443,臺北市大安區雲和街8號1樓,28,98000.0,121.527993,25.023667,locality.63654631,大安區
208,準公共,萬華區,臺北市私立大理幼兒園,(02)23044506,臺北市萬華區雙園街67巷3弄3、4、5、7號1樓,99,51000.0,121.494614,25.0306791,locality.63679207,萬華區
209,私立,中山區,臺北市私立大智幼兒園,(02)25320696,臺北市中山區明水路397巷7弄24號1樓,40,110000.0,121.5462219,25.0779928,locality.63589095,中山區
210,私立,內湖區,臺北市私立大湖寶貝幼兒園,(02)27921959,臺北市內湖區大湖街166巷10號1樓至2樓,37,,121.6014749,25.08334,locality.63613671,內湖區
211,準公共,南港區,臺北市私立大華幼兒園,(02)26533111,臺北市南港區忠孝東路6段212巷4弄9號1樓,120,86088.0,121.583031,25.045829,locality.63630055,南港區
212,私立,中山區,臺北市私立大愛幼兒園,(02)25023200,臺北市中山區松江路221巷15號1樓,31,134340.0,121.5348221,25.0583395,locality.63589095,中山區
213,私立,大安區,臺北市私立大瑪幼兒園,(02)27070126,臺北市大安區和平東路二段265巷44號1樓,18,,121.54404,25.025734,locality.63654631,大安區
214,私立,信義區,臺北市私立子畝蒙特梭利幼兒園,(02)27592360,臺北市信義區忠孝東路5段558號2樓,39,114000.0,121.564579,25.041104,locality.63605479,信義區
215,準公共,文山區,臺北市私立子愛幼兒園,(02)29377790,臺北市文山區興隆路四段165巷3、5號1樓,20,63300.0,121.561782,24.984065,locality.63662823,文山區
216,私立,內湖區,臺北市私立小小百合蒙特梭利幼兒園,(02)27937756,臺北市內湖區星雲街38號1樓,29,120920.0,121.590855,25.078307,locality.63613671,內湖區
217,準公共,大安區,臺北市私立小天心幼兒園,(02)23568960,臺北市大安區潮州街57號1樓,25,140000.0,121.523358,25.02936,locality.63654631,大安區
218,私立,中山區,臺北市私立小伊園幼兒園,(02)25167861,臺北市中山區伊通街27之1號1樓,28,108180.0,121.534774,25.050918,locality.63589095,中山區
219,私立,內湖區,臺北市私立小百合蒙特梭利幼兒園,(02)27946751,臺北市內湖區星雲街37號1樓,30,120920.0,121.590855,25.078307,locality.63613671,內湖區
220,私立,中山區,臺北市私立小甜甜幼兒園,(02)25052178,臺北市中山區五常街51號1樓,90,105600.0,121.542501,25.064292,locality.63589095,中山區
221,私立,內湖區,臺北市私立小荳荳幼兒園,(02)27937710,臺北市內湖區民權東路六段172號1至3樓,41,156996.0,121.592717,25.068844,locality.63613671,內湖區
222,私立,松山區,臺北市私立小敦園幼兒園,(02)25459211,臺北市松山區敦化北路145巷55號1樓,19,121740.0,121.5497566,25.0537006,locality.63671015,松山區
223,私立,內湖區,臺北市私立小綠山森林幼兒園,(02)26307030,臺北市內湖區成功路五段臨37號,65,108000.0,121.606794679003,25.07802555,locality.63613671,內湖區
224,私立,松山區,臺北市私立小慶園幼兒園,(02)27190521,臺北市松山區慶城街16巷9-1號1樓,30,106000.0,121.5455031,25.0528865,locality.63671015,松山區
225,私立,萬華區,臺北市私立小樹苗華頓幼兒園,(02)23375275,臺北市萬華區青年路30巷1號,24,69000.0,121.504712,25.0263455,locality.63679207,萬華區
226,私立,內湖區,臺北市私立小瓢蟲幼兒園,(02)27920986,臺北市內湖區星雲街35號1樓,34,120920.0,121.590855,25.078307,locality.63613671,內湖區
227,私立,松山區,臺北市私立小親親幼兒園,(02)27131492,臺北市松山區民生東路4段80巷15弄3號1樓,30,72200.0,121.555573,25.058255,locality.63671015,松山區
228,私立,中山區,臺北市私立山秀幼兒園,(02)85021798,臺北市中山區明水路606巷16號2樓,99,123000.0,121.5524786,25.0819493,locality.63589095,中山區
229,私立,內湖區,臺北市私立山谷小百合蒙特梭利幼兒園,(02)26315887,臺北市內湖區康寧路三段189巷56及58號1樓,32,129200.0,121.611232459122,25.07613505,locality.63613671,內湖區
230,私立,文山區,臺北市私立中山國民小學附設幼兒園,(02)29360935#700,臺北市文山區木柵路1段378巷26號,270,64665.0,121.56454,24.988576,locality.63662823,文山區
231,私立,中正區,臺北市私立中正區清華幼兒園,(02)23118221,臺北市中正區貴陽街一段58號,180,88260.0,121.509075,25.039107,locality.63597287,中正區
232,私立,北投區,臺北市私立丹佛幼兒園,(02)28721955,臺北市北投區石牌路二段358之1號,84,110800.0,121.521332,25.118997,locality.63621863,北投區
233,私立,大安區,臺北市私立予心屋幼兒園,(02)27056166,臺北市大安區光復南路420巷19號1樓,40,126000.0,121.555652,25.036499,locality.63654631,大安區
234,私立,中山區,臺北市私立五常幼兒園,(02)25025750,臺北市中山區龍江路377巷24號1樓,60,60540.0,121.5416835,25.0647716,locality.63589095,中山區
235,私立,大安區,臺北市私立仁和幼兒園,(02)27111787,臺北市大安區忠孝東路三段251巷9弄8號,60,53100.0,121.542117,25.043275,locality.63654631,大安區
236,準公共,文山區,臺北市私立仁美幼兒園,(02)29395610,臺北市文山區木柵路3段85巷14弄14號,90,63236.0,121.542718,24.988517,locality.63662823,文山區
237,私立,大安區,臺北市私立仁愛幼兒園,(02)27093131,臺北市大安區信義路三段147巷15弄27號1樓,34,121200.0,121.5430054,25.0350938,locality.63654631,大安區
238,私立,內湖區,臺北市私立內湖科見幼兒園,(02)26348876,臺北市內湖區成功路五段460號2樓及2樓之1,110,98345.0,121.606353,25.073609,locality.63613671,內湖區
239,準公共,信義區,臺北市私立六三幼兒園,(02)23454058,臺北市信義區信義路5段150巷351號1樓,90,73126.0,121.562227,25.034454,locality.63605479,信義區
240,私立,大安區,臺北市私立及愛菁英幼兒園,(02)23683686,臺北市大安區辛亥路一段79號2樓之1,20,121600.0,121.531154,25.021033,locality.63654631,大安區
241,私立,松山區,臺北市私立友友幼兒園,(02)27568845,臺北市松山區南京東路五段23巷6弄9號,50,,121.55860285,25.05210095,locality.63671015,松山區
242,私立,中山區,臺北市私立友丞幼兒園,(02)25093438,臺北市中山區錦州街452號1、2樓,40,78000.0,121.543598,25.060187,locality.63589095,中山區
243,私立,信義區,臺北市私立友愛幼兒園,(02)27285918,臺北市信義區忠孝東路5段524巷5弄23號1樓,40,70800.0,121.564579,25.041104,locality.63605479,信義區
244,私立,信義區,臺北市私立天主教三德幼兒園,(02)27221062#11,臺北市信義區松仁路228巷15號1樓至2樓,150,,121.5682275,25.0251132,locality.63605479,信義區
245,私立,士林區,臺北市私立天母蒙特梭利幼兒園,(02)28728454,臺北市士林區天母西路95巷21號1.2樓,112,135730.0,121.5246049,25.1193326,locality.63638247,士林區
246,準公共,松山區,臺北市私立天喜幼兒園,(02)27672567,臺北市松山區民權東路五段102號,70,90980.0,121.564148507227,25.06375095,locality.63671015,松山區
247,私立,信義區,臺北市私立天琪幼兒園,(02)27233079,臺北市信義區吳興街600巷83弄16、18號1樓,90,55796.0,121.5714915,25.0188585,locality.63605479,信義區
248,私立,北投區,臺北市私立天華幼兒園,(02)28945685,臺北市北投區清江路25巷7號,32,66120.0,121.501778,25.129481,locality.63621863,北投區
249,私立,士林區,臺北市私立太和蒙特梭利幼兒園,(02)28366268,臺北市士林區中山北路六段290巷7弄7號1樓,60,160800.0,121.524755,25.103461,locality.63638247,士林區
250,私立,士林區,臺北市私立太和騰幼兒園,(02)28129958,臺北市士林區延平北路6段227號1至3樓,97,115800.0,121.5029237,25.0893065,locality.63638247,士林區
251,私立,北投區,臺北市私立心美蒙特梭利幼兒園,(02)28205120,臺北市北投區東華街二段92號及92之1號1樓,36,96000.0,121.5061304,25.1209048,locality.63621863,北投區
252,準公共,內湖區,臺北市私立心惠幼兒園,(02)26270022,臺北市內湖區麗山街62巷18弄2、4、6號1樓,120,71100.0,121.5786823,25.0817687,locality.63613671,內湖區
253,私立,士林區,臺北市私立心愛幼兒園,(02)28739393,臺北市士林區中山北路七段190巷104號1、2樓,180,88000.0,121.53603465,25.1298131,locality.63638247,士林區
254,私立,大安區,臺北市私立心聲幼兒園,(02)23634169,臺北市大安區新生南路三段22巷14號1樓,25,144000.0,121.5344603,25.024045,locality.63654631,大安區
255,私立,大安區,臺北市私立心藝術幼兒園,(02)33222123,臺北市大安區永康街14巷8號1樓,33,72000.0,121.529502,25.031286,locality.63654631,大安區
256,私立,文山區,臺北市私立文山仁和幼兒園,(02)29364473,臺北市文山區忠順街一段10巷11.13.15號1至2樓,133,90000.0,121.5584853,24.9832945,locality.63662823,文山區
257,私立,文山區,臺北市私立文山懷恩幼兒園,(02)29308618,臺北市文山區福興路63巷4弄26、28號1樓,90,96000.0,121.5492124,25.0042529,locality.63662823,文山區
258,準公共,內湖區,臺北市私立文心幼兒園,(02)27902507,臺北市內湖區星雲街68巷8、10、12號1樓,120,118305.0,121.5925248,25.0783689,locality.63613671,內湖區
259,私立,中山區,臺北市私立日光貝比幼兒園,(02)25717858,臺北市中山區中山北路二段116巷9號2樓,150,96900.0,121.5219252,25.060998,locality.63589095,中山區
260,私立,士林區,臺北市私立日晴幼兒園,(02)28882210,臺北市士林區福港街158號2樓,38,54840.0,121.517817,25.087084,locality.63638247,士林區
261,私立,文山區,臺北市私立比利馬幼兒園,(02)22362468,臺北市文山區木柵路一段87號1樓,24,135730.0,121.550342,24.987472,locality.63662823,文山區
262,準公共,士林區,臺北市私立比特幼兒園,(02)88111398,臺北市士林區社中街381號1樓,20,90980.0,121.50858,25.091044,locality.63638247,士林區
263,私立,大同區,臺北市私立水晶幼兒園,(02)25535198,臺北市大同區延平北路二段272巷7號1樓,30,55796.0,121.5105115,25.06211,locality.63646439,大同區
264,私立,大安區,臺北市私立丘山幼兒園,(02)27711031,臺北市大安區忠孝東路三段10巷8號1樓,25,66120.0,121.5333712,25.0410561,locality.63654631,大安區
265,私立,大同區,臺北市私立功文成長幼兒園,(02)25946008,臺北市大同區大同區哈密街59巷83號1-2樓,42,160800.0,121.5169607,25.0746314,locality.63646439,大同區
266,私立,大同區,臺北市私立功文雪泥幼兒園,(02)25948254,臺北市大同區哈密街59巷79、81號1、2、3樓,60,69626.0,121.5157333,25.0754395,locality.63646439,大同區
267,私立,中山區,臺北市私立加楓國際蒙特梭利幼兒園,(02)25419969,臺北市中山區松江路188巷9號及9之1號1樓,30,,121.5326555,25.0567802,locality.63589095,中山區
268,準公共,北投區,臺北市私立北投青青幼兒園,(02)28965006,臺北市北投區溫泉路73巷5號1樓,30,69852.0,121.505804,25.135902,locality.63621863,北投區
269,私立,大安區,臺北市私立卡朵蒙特梭利幼兒園,(02)27084028,臺北市大安區四維路192巷12號1樓,30,78000.0,121.547032,25.02711,locality.63654631,大安區
270,私立,松山區,臺北市私立卡兒堡幼兒園,(02)25784555,臺北市松山區八德路三段12巷57弄39.41號1樓,34,90600.0,121.5520071,25.0453133,locality.63671015,松山區
271,私立,內湖區,臺北市私立卡爾維德幼兒園,(02)26348514,臺北市內湖區康寧路三段16巷35號,80,86080.0,121.608286,25.071171,locality.63613671,內湖區
272,私立,內湖區,臺北市私立卡爾維德蒙特梭利幼兒園,(02)26335356,臺北市內湖區東湖路113巷50號1樓,40,104940.0,121.6157186,25.0713605,locality.63613671,內湖區
273,準公共,北投區,臺北市私立卡蕾兒幼兒園,(02)28926957,臺北市北投區文化三路14號1樓,21,59484.0,121.5008169,25.1373153,locality.63621863,北投區
274,私立,文山區,臺北市私立台北紐西蘭幼兒園,(02)86611156,臺北市文山區政大1街19號,140,102600.0,121.586074,24.984675,place.3057895,臺北市
275,私立,大安區,臺北市私立四維幼兒園,(02)27073718,臺北市大安區和平東路三段1巷25號,120,88002.0,121.546718,25.025169,locality.63654631,大安區
276,私立,文山區,臺北市私立巧可麗幼兒園,(02)29303077,臺北市文山區景福街17、19號1樓,40,69000.0,121.536662817738,24.997131,locality.63662823,文山區
277,私立,內湖區,臺北市私立巧可麗查理布朗幼兒園,(02)87926411,臺北市內湖區成功路三段174巷10號2樓,35,84550.0,121.59057,25.081289,locality.63613671,內湖區
278,私立,大安區,臺北市私立巧可麗國際幼兒園,(02)33653322,臺北市大安區泰順街45號2樓,114,75000.0,121.531284,25.022549,locality.63654631,大安區
279,私立,大安區,臺北市私立巧而園幼兒園,(02)27362869,臺北市大安區樂利路45巷6號第1、2層,52,132000.0,121.5517232,25.0266607,locality.63654631,大安區
280,私立,大安區,臺北市私立巧琪幼兒園,(02)27068376,臺北市大安區信義路四段265巷31弄26號1樓,28,,121.5558082,25.0341785,locality.63654631,大安區
281,私立,文山區,臺北市私立巨星幼兒園,(02)29381987,臺北市文山區秀明路1段68號,39,68560.0,121.563157,24.989081,locality.63662823,文山區
282,私立,中正區,臺北市私立巨勝幼兒園,(02)23936965,臺北市中正區金山南路一段67巷8號,68,109900.0,121.5283196,25.0378024,locality.63597287,中正區
283,私立,北投區,臺北市私立巨登堡幼兒園,(02)28939226,臺北市北投區公舘路77號1樓,34,76300.0,121.504609,25.131186,locality.63621863,北投區
284,私立,士林區,臺北市私立幼天才幼兒園,(02)28802380,臺北市士林區福港街107巷16、18、20號1樓,40,97158.0,121.518662,25.0879624,locality.63638247,士林區
285,私立,士林區,臺北市私立幼心幼兒園,(02)28815581,臺北市士林區中正路335巷18號,180,70488.0,121.5231286,25.094143,locality.63638247,士林區
286,準公共,士林區,臺北市私立幼安幼兒園,(02)88115787,臺北市士林區社中街231巷27號1樓,27,56484.0,121.5076582,25.0909033,locality.63638247,士林區
287,私立,萬華區,臺北市私立幼佳幼兒園,(02)23026545,臺北市萬華區雙園街18巷12號,90,86100.0,121.495158,25.028937,locality.63679207,萬華區
288,私立,文山區,臺北市私立幼兒館幼兒園,(02)22341515,臺北市文山區木新路2段128號1、2樓,34,87520.0,121.564726,24.982661,locality.63662823,文山區
289,私立,文山區,臺北市私立幼林幼兒園,(02)29326469,臺北市文山區景福街31號1樓,37,80360.0,121.538869,24.999327,locality.63662823,文山區
290,私立,內湖區,臺北市私立幼欣幼兒園,(02)27918852,臺北市內湖區成功路二段312巷66、68號1樓,30,84500.0,121.5891557,25.0668847,locality.63613671,內湖區
291,私立,大安區,臺北市私立幼苗幼兒園,(02)27000178,臺北市大安區安和路一段127巷13號、15、19號1樓,66,104400.0,121.5537196,25.034862,locality.63654631,大安區
292,私立,內湖區,臺北市私立幼新幼兒園,(02)27916362,臺北市內湖區成功路二段312巷46、48號1樓,90,109600.0,121.5891557,25.0668847,locality.63613671,內湖區
293,私立,文山區,臺北市私立幼學館幼兒園,(02)22341515,臺北市文山區木新路2段130號,40,105300.0,121.564726,24.982661,locality.63662823,文山區
294,私立,中山區,臺北市私立幼馨幼兒園,(02)25080977,臺北市中山區合江街180巷19號1樓,19,70260.0,121.537873,25.0610909,locality.63589095,中山區
295,私立,大安區,臺北市私立弘人幼兒園,(02)27047899,臺北市大安區四維路170巷3號,68,92000.0,121.54692,25.028235,locality.63654631,大安區
296,準公共,士林區,臺北市私立弘明幼兒園,(02)28726200,臺北市士林區中山北路7段114巷11號,99,93000.0,121.525208,25.103031,locality.63638247,士林區
297,準公共,北投區,臺北市私立正大幼兒園,(02)28229788,臺北市北投區義理街49巷4號,58,0.0,121.5150554,25.1160186,locality.63621863,北投區
298,準公共,中山區,臺北市私立正光幼兒園,(02)25223774,臺北市中山區松江路362巷13、15、17、19號1樓,38,78900.0,121.5326595,25.0618611,locality.63589095,中山區
299,私立,松山區,臺北市私立正欣?蒙幼兒園,(02)27639957,臺北市松山區光復北路165巷3號1樓,27,93300.0,121.55626825,25.0573103,locality.63671015,松山區
300,私立,松山區,臺北市私立正欣幼兒園,(02)27639957,臺北市松山區光復北路165巷5號、7號1樓,120,93300.0,121.55626825,25.0573103,locality.63671015,松山區
301,私立,士林區,臺北市私立正音幼兒園,(02)28364687,臺北市士林區東山路135號1樓,116,,121.5391007,25.1142844,locality.63638247,士林區
302,準公共,松山區,臺北市私立民族幼兒園,(02)27612638,臺北市松山區新中街4巷6、8號1樓,60,88422.0,121.56114535,25.057655150000002,locality.63671015,松山區
303,準公共,內湖區,臺北市私立民祥幼兒園,(02)27986739,臺北市內湖區麗山街338巷5、7號1樓,60,77900.0,121.5737007,25.0824602,locality.63613671,內湖區
304,私立,士林區,臺北市私立民華幼兒園,(02)28823000,臺北市士林區華齡街211號1、2、3樓,360,91470.0,121.519537,25.087048,locality.63638247,士林區
305,準公共,松山區,臺北市私立民權幼兒園,(02)27131092,臺北市松山區富錦街562巷13號1樓,83,60940.0,121.56483,25.061017,locality.63671015,松山區
306,私立,南港區,臺北市私立甘霖幼兒園,(02)27826308,臺北市南港區南港路二段32號,48,110860.0,121.606167,25.054296,locality.63630055,南港區
307,私立,信義區,臺北市私立甲子園幼兒園,(02)27358636,臺北市信義區信安街161號1樓至2樓,38,66000.0,121.555315,25.023024,locality.63605479,信義區
308,準公共,北投區,臺北市私立石牌旭東幼兒園,(02)28272210,臺北市北投區實踐街82巷14號及16號1樓,53,58530.0,121.51082360000001,25.11500105,locality.63621863,北投區
309,私立,大安區,臺北市私立禾心蒙特梭利幼兒園,(02)27014947,臺北市大安區安和路一段135巷16號1樓,25,123000.0,121.553391,25.0342544,locality.63654631,大安區
310,私立,文山區,臺北市私立立揚幼兒園,(02)29333238,臺北市文山區景興路258號1樓及夾層,39,82000.0,121.542588,24.990224,locality.63662823,文山區
311,私立,內湖區,臺北市私立立湖幼兒園,(02)27902228,臺北市內湖區金龍路222巷1弄1號,60,125580.0,121.5860103,25.0885729,locality.63613671,內湖區
312,準公共,中山區,臺北市私立立興幼兒園,(02)25034564,臺北市中山區龍江路342巷37號,240,80130.0,121.539668,25.065561,locality.63589095,中山區
313,私立,大安區,臺北市私立伊帝馬幼兒園,(02)23966726,臺北市大安區金山南路二段13巷17號1樓,30,99800.0,121.528184,25.033344,locality.63654631,大安區
314,私立,萬華區,臺北市私立光仁國民小學附設幼兒園,(02)23032874#891,臺北市萬華區萬大路423巷28弄2號,360,57135.0,121.5001155,25.0204825,locality.63679207,萬華區
315,私立,大安區,臺北市私立光目華德福幼兒園,(02)23253638,臺北市大安區延吉街241巷2弄11號1、2樓,90,95050.0,121.5559477,25.0355826,locality.63654631,大安區
316,私立,松山區,臺北市私立光華幼兒園,(02)27154555,臺北市松山區慶城街16巷3、5號1樓,150,102200.0,121.5455031,25.0528865,locality.63671015,松山區
317,私立,信義區,臺北市私立全心幼兒園,(02)27660046,臺北市信義區虎林街40巷30號1樓,28,116000.0,121.5759799,25.0475665,locality.63605479,信義區
318,私立,文山區,臺北市私立全能幼兒園,(02)29367367,臺北市文山區樟新街26號1樓,30,,121.555799,24.97789,locality.63662823,文山區
319,準公共,文山區,臺北市私立吉太幼兒園,(02)29392220,臺北市文山區木新路三段45巷7弄8、10、12號1樓,60,64932.0,121.56443924999999,24.981681000000002,locality.63662823,文山區
320,私立,大安區,臺北市私立吉事達康博喜幼兒園,(02)27381616,臺北市大安區臥龍街43巷5號1樓及7號1樓,40,67000.0,121.5470429,25.0224953,locality.63654631,大安區
