id,類型,鄉鎮,name,幼兒園電話,addr,核定總招收人數,收費金額
214,私立,信義區,臺北市私立子畝蒙特梭利幼兒園,(02)27592360,臺北市信義區忠孝東路5段558號2樓,39,114000
215,準公共,文山區,臺北市私立子愛幼兒園,(02)29377790,臺北市文山區興隆路四段165巷3、5號1樓,20,63300
216,私立,內湖區,臺北市私立小小百合蒙特梭利幼兒園,(02)27937756,臺北市內湖區星雲街38號1樓,29,120920
217,準公共,大安區,臺北市私立小天心幼兒園,(02)23568960,臺北市大安區潮州街57號1樓,25,140000
218,私立,中山區,臺北市私立小伊園幼兒園,(02)25167861,臺北市中山區伊通街27之1號1樓,28,108180
219,私立,內湖區,臺北市私立小百合蒙特梭利幼兒園,(02)27946751,臺北市內湖區星雲街37號1樓,30,120920
220,私立,中山區,臺北市私立小甜甜幼兒園,(02)25052178,臺北市中山區五常街51號1樓,90,105600
221,私立,內湖區,臺北市私立小荳荳幼兒園,(02)27937710,臺北市內湖區民權東路六段172號1至3樓,41,156996
222,私立,松山區,臺北市私立小敦園幼兒園,(02)25459211,臺北市松山區敦化北路145巷55號1樓,19,121740
223,私立,內湖區,臺北市私立小綠山森林幼兒園,(02)26307030,臺北市內湖區成功路五段臨37號,65,108000
224,私立,松山區,臺北市私立小慶園幼兒園,(02)27190521,臺北市松山區慶城街16巷9-1號1樓,30,106000
225,私立,萬華區,臺北市私立小樹苗華頓幼兒園,(02)23375275,臺北市萬華區青年路30巷1號,24,69000
226,私立,內湖區,臺北市私立小瓢蟲幼兒園,(02)27920986,臺北市內湖區星雲街35號1樓,34,120920
227,私立,松山區,臺北市私立小親親幼兒園,(02)27131492,臺北市松山區民生東路4段80巷15弄3號1樓,30,72200
228,私立,中山區,臺北市私立山秀幼兒園,(02)85021798,臺北市中山區明水路606巷16號2樓,99,123000
229,私立,內湖區,臺北市私立山谷小百合蒙特梭利幼兒園,(02)26315887,臺北市內湖區康寧路三段189巷56及58號1樓,32,129200
230,私立,文山區,臺北市私立中山國民小學附設幼兒園,(02)29360935#700,臺北市文山區木柵路1段378巷26號,270,64665
231,私立,中正區,臺北市私立中正區清華幼兒園,(02)23118221,臺北市中正區貴陽街一段58號,180,88260
232,私立,北投區,臺北市私立丹佛幼兒園,(02)28721955,臺北市北投區石牌路二段358之1號,84,110800
233,私立,大安區,臺北市私立予心屋幼兒園,(02)27056166,臺北市大安區光復南路420巷19號1樓,40,126000
234,私立,中山區,臺北市私立五常幼兒園,(02)25025750,臺北市中山區龍江路377巷24號1樓,60,60540
235,私立,大安區,臺北市私立仁和幼兒園,(02)27111787,臺北市大安區忠孝東路三段251巷9弄8號,60,53100
236,準公共,文山區,臺北市私立仁美幼兒園,(02)29395610,臺北市文山區木柵路3段85巷14弄14號,90,63236
237,私立,大安區,臺北市私立仁愛幼兒園,(02)27093131,臺北市大安區信義路三段147巷15弄27號1樓,34,121200
238,私立,內湖區,臺北市私立內湖科見幼兒園,(02)26348876,臺北市內湖區成功路五段460號2樓及2樓之1,110,98345
239,準公共,信義區,臺北市私立六三幼兒園,(02)23454058,臺北市信義區信義路5段150巷351號1樓,90,73126
240,私立,大安區,臺北市私立及愛菁英幼兒園,(02)23683686,臺北市大安區辛亥路一段79號2樓之1,20,121600
241,私立,松山區,臺北市私立友友幼兒園,(02)27568845,臺北市松山區南京東路五段23巷6弄9號,50,
242,私立,中山區,臺北市私立友丞幼兒園,(02)25093438,臺北市中山區錦州街452號1、2樓,40,78000
243,私立,信義區,臺北市私立友愛幼兒園,(02)27285918,臺北市信義區忠孝東路5段524巷5弄23號1樓,40,70800
244,私立,信義區,臺北市私立天主教三德幼兒園,(02)27221062#11,臺北市信義區松仁路228巷15號1樓至2樓,150,
245,私立,士林區,臺北市私立天母蒙特梭利幼兒園,(02)28728454,臺北市士林區天母西路95巷21號1.2樓,112,135730
246,準公共,松山區,臺北市私立天喜幼兒園,(02)27672567,臺北市松山區民權東路五段102號,70,90980
247,私立,信義區,臺北市私立天琪幼兒園,(02)27233079,臺北市信義區吳興街600巷83弄16、18號1樓,90,55796
248,私立,北投區,臺北市私立天華幼兒園,(02)28945685,臺北市北投區清江路25巷7號,32,66120
249,私立,士林區,臺北市私立太和蒙特梭利幼兒園,(02)28366268,臺北市士林區中山北路六段290巷7弄7號1樓,60,160800
250,私立,士林區,臺北市私立太和騰幼兒園,(02)28129958,臺北市士林區延平北路6段227號1至3樓,97,115800
251,私立,北投區,臺北市私立心美蒙特梭利幼兒園,(02)28205120,臺北市北投區東華街二段92號及92之1號1樓,36,96000
252,準公共,內湖區,臺北市私立心惠幼兒園,(02)26270022,臺北市內湖區麗山街62巷18弄2、4、6號1樓,120,71100
253,私立,士林區,臺北市私立心愛幼兒園,(02)28739393,臺北市士林區中山北路七段190巷104號1、2樓,180,88000
254,私立,大安區,臺北市私立心聲幼兒園,(02)23634169,臺北市大安區新生南路三段22巷14號1樓,25,144000
255,私立,大安區,臺北市私立心藝術幼兒園,(02)33222123,臺北市大安區永康街14巷8號1樓,33,72000
256,私立,文山區,臺北市私立文山仁和幼兒園,(02)29364473,臺北市文山區忠順街一段10巷11.13.15號1至2樓,133,90000
257,私立,文山區,臺北市私立文山懷恩幼兒園,(02)29308618,臺北市文山區福興路63巷4弄26、28號1樓,90,96000
258,準公共,內湖區,臺北市私立文心幼兒園,(02)27902507,臺北市內湖區星雲街68巷8、10、12號1樓,120,118305
259,私立,中山區,臺北市私立日光貝比幼兒園,(02)25717858,臺北市中山區中山北路二段116巷9號2樓,150,96900
260,私立,士林區,臺北市私立日晴幼兒園,(02)28882210,臺北市士林區福港街158號2樓,38,54840
261,私立,文山區,臺北市私立比利馬幼兒園,(02)22362468,臺北市文山區木柵路一段87號1樓,24,135730
262,準公共,士林區,臺北市私立比特幼兒園,(02)88111398,臺北市士林區社中街381號1樓,20,90980
263,私立,大同區,臺北市私立水晶幼兒園,(02)25535198,臺北市大同區延平北路二段272巷7號1樓,30,55796
264,私立,大安區,臺北市私立丘山幼兒園,(02)27711031,臺北市大安區忠孝東路三段10巷8號1樓,25,66120
265,私立,大同區,臺北市私立功文成長幼兒園,(02)25946008,臺北市大同區大同區哈密街59巷83號1-2樓,42,160800
266,私立,大同區,臺北市私立功文雪泥幼兒園,(02)25948254,臺北市大同區哈密街59巷79、81號1、2、3樓,60,69626
267,私立,中山區,臺北市私立加楓國際蒙特梭利幼兒園,(02)25419969,臺北市中山區松江路188巷9號及9之1號1樓,30,
268,準公共,北投區,臺北市私立北投青青幼兒園,(02)28965006,臺北市北投區溫泉路73巷5號1樓,30,69852
269,私立,大安區,臺北市私立卡朵蒙特梭利幼兒園,(02)27084028,臺北市大安區四維路192巷12號1樓,30,78000
270,私立,松山區,臺北市私立卡兒堡幼兒園,(02)25784555,臺北市松山區八德路三段12巷57弄39.41號1樓,34,90600
271,私立,內湖區,臺北市私立卡爾維德幼兒園,(02)26348514,臺北市內湖區康寧路三段16巷35號,80,86080
272,私立,內湖區,臺北市私立卡爾維德蒙特梭利幼兒園,(02)26335356,臺北市內湖區東湖路113巷50號1樓,40,104940
273,準公共,北投區,臺北市私立卡蕾兒幼兒園,(02)28926957,臺北市北投區文化三路14號1樓,21,59484
274,私立,文山區,臺北市私立台北紐西蘭幼兒園,(02)86611156,臺北市文山區政大1街19號,140,102600
275,私立,大安區,臺北市私立四維幼兒園,(02)27073718,臺北市大安區和平東路三段1巷25號,120,88002
276,私立,文山區,臺北市私立巧可麗幼兒園,(02)29303077,臺北市文山區景福街17、19號1樓,40,69000
277,私立,內湖區,臺北市私立巧可麗查理布朗幼兒園,(02)87926411,臺北市內湖區成功路三段174巷10號2樓,35,84550
278,私立,大安區,臺北市私立巧可麗國際幼兒園,(02)33653322,臺北市大安區泰順街45號2樓,114,75000
279,私立,大安區,臺北市私立巧而園幼兒園,(02)27362869,臺北市大安區樂利路45巷6號第1、2層,52,132000
280,私立,大安區,臺北市私立巧琪幼兒園,(02)27068376,臺北市大安區信義路四段265巷31弄26號1樓,28,
281,私立,文山區,臺北市私立巨星幼兒園,(02)29381987,臺北市文山區秀明路1段68號,39,68560
282,私立,中正區,臺北市私立巨勝幼兒園,(02)23936965,臺北市中正區金山南路一段67巷8號,68,109900
283,私立,北投區,臺北市私立巨登堡幼兒園,(02)28939226,臺北市北投區公舘路77號1樓,34,76300
284,私立,士林區,臺北市私立幼天才幼兒園,(02)28802380,臺北市士林區福港街107巷16、18、20號1樓,40,97158
285,私立,士林區,臺北市私立幼心幼兒園,(02)28815581,臺北市士林區中正路335巷18號,180,70488
286,準公共,士林區,臺北市私立幼安幼兒園,(02)88115787,臺北市士林區社中街231巷27號1樓,27,56484
287,私立,萬華區,臺北市私立幼佳幼兒園,(02)23026545,臺北市萬華區雙園街18巷12號,90,86100
288,私立,文山區,臺北市私立幼兒館幼兒園,(02)22341515,臺北市文山區木新路2段128號1、2樓,34,87520
289,私立,文山區,臺北市私立幼林幼兒園,(02)29326469,臺北市文山區景福街31號1樓,37,80360
290,私立,內湖區,臺北市私立幼欣幼兒園,(02)27918852,臺北市內湖區成功路二段312巷66、68號1樓,30,84500
291,私立,大安區,臺北市私立幼苗幼兒園,(02)27000178,臺北市大安區安和路一段127巷13號、15、19號1樓,66,104400
292,私立,內湖區,臺北市私立幼新幼兒園,(02)27916362,臺北市內湖區成功路二段312巷46、48號1樓,90,109600
293,私立,文山區,臺北市私立幼學館幼兒園,(02)22341515,臺北市文山區木新路2段130號,40,105300
294,私立,中山區,臺北市私立幼馨幼兒園,(02)25080977,臺北市中山區合江街180巷19號1樓,19,70260
295,私立,大安區,臺北市私立弘人幼兒園,(02)27047899,臺北市大安區四維路170巷3號,68,92000
296,準公共,士林區,臺北市私立弘明幼兒園,(02)28726200,臺北市士林區中山北路7段114巷11號,99,93000
297,準公共,北投區,臺北市私立正大幼兒園,(02)28229788,臺北市北投區義理街49巷4號,58,0
298,準公共,中山區,臺北市私立正光幼兒園,(02)25223774,臺北市中山區松江路362巷13、15、17、19號1樓,38,78900
299,私立,松山區,臺北市私立正欣?蒙幼兒園,(02)27639957,臺北市松山區光復北路165巷3號1樓,27,93300
300,私立,松山區,臺北市私立正欣幼兒園,(02)27639957,臺北市松山區光復北路165巷5號、7號1樓,120,93300
301,私立,士林區,臺北市私立正音幼兒園,(02)28364687,臺北市士林區東山路135號1樓,116,
302,準公共,松山區,臺北市私立民族幼兒園,(02)27612638,臺北市松山區新中街4巷6、8號1樓,60,88422
303,準公共,內湖區,臺北市私立民祥幼兒園,(02)27986739,臺北市內湖區麗山街338巷5、7號1樓,60,77900
304,私立,士林區,臺北市私立民華幼兒園,(02)28823000,臺北市士林區華齡街211號1、2、3樓,360,91470
305,準公共,松山區,臺北市私立民權幼兒園,(02)27131092,臺北市松山區富錦街562巷13號1樓,83,60940
306,私立,南港區,臺北市私立甘霖幼兒園,(02)27826308,臺北市南港區南港路二段32號,48,110860
307,私立,信義區,臺北市私立甲子園幼兒園,(02)27358636,臺北市信義區信安街161號1樓至2樓,38,66000
308,準公共,北投區,臺北市私立石牌旭東幼兒園,(02)28272210,臺北市北投區實踐街82巷14號及16號1樓,53,58530
309,私立,大安區,臺北市私立禾心蒙特梭利幼兒園,(02)27014947,臺北市大安區安和路一段135巷16號1樓,25,123000
310,私立,文山區,臺北市私立立揚幼兒園,(02)29333238,臺北市文山區景興路258號1樓及夾層,39,82000
311,私立,內湖區,臺北市私立立湖幼兒園,(02)27902228,臺北市內湖區金龍路222巷1弄1號,60,125580
312,準公共,中山區,臺北市私立立興幼兒園,(02)25034564,臺北市中山區龍江路342巷37號,240,80130
313,私立,大安區,臺北市私立伊帝馬幼兒園,(02)23966726,臺北市大安區金山南路二段13巷17號1樓,30,99800
314,私立,萬華區,臺北市私立光仁國民小學附設幼兒園,(02)23032874#891,臺北市萬華區萬大路423巷28弄2號,360,57135
315,私立,大安區,臺北市私立光目華德福幼兒園,(02)23253638,臺北市大安區延吉街241巷2弄11號1、2樓,90,95050
316,私立,松山區,臺北市私立光華幼兒園,(02)27154555,臺北市松山區慶城街16巷3、5號1樓,150,102200
317,私立,信義區,臺北市私立全心幼兒園,(02)27660046,臺北市信義區虎林街40巷30號1樓,28,116000
318,私立,文山區,臺北市私立全能幼兒園,(02)29367367,臺北市文山區樟新街26號1樓,30,
319,準公共,文山區,臺北市私立吉太幼兒園,(02)29392220,臺北市文山區木新路三段45巷7弄8、10、12號1樓,60,64932
320,私立,大安區,臺北市私立吉事達康博喜幼兒園,(02)27381616,臺北市大安區臥龍街43巷5號1樓及7號1樓,40,67000
321,私立,南港區,臺北市私立吉的堡小騎士幼兒園,(02)26516526,臺北市南港區成福路183號2樓,130,
322,準公共,萬華區,臺北市私立名人幼兒園,(02)23016998,臺北市萬華區西園路2段227之1號2樓,29,58510
323,私立,內湖區,臺北市私立多元智慧幼兒園,(02)26598800,臺北市內湖區文德路90巷39號1樓,151,107496
324,私立,士林區,臺北市私立多多種子幼兒園,(02)28122563,臺北市士林區延平北路五段245巷2.4號,60,72000
325,準公共,松山區,臺北市私立多多優質幼兒園,(02)25791370,臺北市松山區光復南路46巷25.2729號1樓,75,90000
326,私立,士林區,臺北市私立好來幼兒園,(02)28718696,臺北市士林區中山北路七段225之1號1.2樓,120,96000
327,私立,大安區,臺北市私立安和寶貝幼兒園,(02)27029668,臺北市大安區安和路一段78巷1號,38,118305
328,私立,北投區,臺北市私立成美蒙特梭利幼兒園,(02)28218915,臺北市北投區裕民六路114巷36弄5號,40,96900
329,準公共,北投區,臺北市私立旭東幼兒園,(02)28913311,臺北市北投區中和街446巷56號,120,54840
330,私立,士林區,臺北市私立有緣蒙特梭利幼兒園,(02)28320290,臺北市士林區忠誠路2段32巷11號1樓,27,77580
331,私立,中正區,臺北市私立百家姓幼兒園,(02)23810932,臺北市中正區延平南路248巷3號1樓,40,76000
332,私立,北投區,臺北市私立米蘿幼兒園,(02)28967027,臺北市北投區文化三路12號1樓,22,57500
333,私立,北投區,臺北市私立艾法貝納幼兒園,(02)28769011,臺北市北投區行義路10巷2號2樓之1,70,111000
334,私立,中山區,臺北市私立艾達幼兒園,(02)85011373,臺北市中山區堤頂大道二段282、284、286號1樓、1樓夾層,69,129000
335,私立,信義區,臺北市私立佑保幼兒園,(02)27594855,臺北市信義區忠孝東路五段490號1.2樓,30,116500
336,私立,士林區,臺北市私立何嘉仁士林幼兒園,(02)28327663,臺北市士林區中正路116號,111,103755
337,私立,萬華區,臺北市私立何嘉仁中華幼兒園,(02)23094679,臺北市萬華區中華路二段666-12、666-13、668、670號1樓,92,112665
338,私立,文山區,臺北市私立何嘉仁文山幼兒園,(02)29306607,臺北市文山區羅斯福路六段130號1、2樓,150,107255
339,私立,北投區,臺北市私立何嘉仁北投幼兒園,(02)28943222,臺北市北投區中央北路二段335之2號1、2樓,159,99000
340,私立,士林區,臺北市私立何嘉仁幼兒園,(02)28128097,臺北市士林區延平北路五段231巷1號,120,105000
341,私立,大安區,臺北市私立何嘉仁延吉幼兒園,(02)27086092,臺北市大安區延吉街250號2樓,333,108955
342,私立,信義區,臺北市私立何嘉仁信安寶貝幼兒園,(02)27369666,臺北市信義區信安街200號2樓,28,115565
343,私立,南港區,臺北市私立何嘉仁南港幼兒園,(02)27890198,臺北市南港區興華路18.20.22.24號1樓至2樓,46,115565
344,私立,內湖區,臺北市私立何嘉仁新湖幼兒園,(02)27922776,臺北市內湖區民權東路6段196號,310,115565
345,私立,文山區,臺北市私立何嘉仁興隆幼兒園,(02)29310584,臺北市文山區興隆路二段252號2樓,100,108825
346,私立,中正區,臺北市私立何嘉仁臨沂幼兒園,(02)23919678,臺北市中正區臨沂街65巷1號1樓、2樓、3樓,181,109800
347,私立,信義區,臺北市私立君格幼兒園,(02)27614112,臺北市信義區松隆路9巷21、23號1樓,60,111000
348,私立,信義區,臺北市私立吳興幼兒園,(02)27253008,臺北市信義區松仁路253巷3弄8號1樓,19,
349,私立,內湖區,臺北市私立快樂幼兒園,(02)26311292,臺北市內湖區民權東路6段280巷8號1.2樓,48,132000
350,準公共,文山區,臺北市私立快樂諾貝兒幼兒園,(02)29301241,臺北市文山區興隆路二段222之2號2樓,40,132000
351,準公共,士林區,臺北市私立求真幼兒園,(02)28828069,臺北市士林區通河東街一段136巷24.26號1樓,37,61660
352,私立,士林區,臺北市私立沐恩蒙特梭利幼兒園,(02)28765636,臺北市士林區天母東路69巷11之5號1樓,33,129420
353,私立,大安區,臺北市私立邦尼幼兒園,(02)23685253,臺北市大安區和平東路一段248巷18號,28,117000
354,準公共,中正區,臺北市私立乖乖幼兒園,(02)23033807,臺北市中正區南海路96號,120,60174
355,私立,大安區,臺北市私立亞瑟王皇家幼兒園,(02)23584018,臺北市大安區潮州街108號2樓,22,44500
356,私立,大安區,臺北市私立享銘幼兒園,(02)27546816,臺北市大安區信義路三段31巷11號1樓,31,91200
357,私立,北投區,臺北市私立佳人幼兒園,(02)28225958,臺北市北投區實踐街49巷25號1、2樓,63,111980
358,準公共,大安區,臺北市私立佳安幼兒園,(02)27332971,臺北市大安區樂業街131、133號1樓,60,94400
359,私立,士林區,臺北市私立佳嬰幼兒園,(02)28807575,臺北市士林區大東路126號1樓,29,59640
360,私立,內湖區,臺北市私立來來幼兒園,(02)26325432,臺北市內湖區民權東路六段280巷50號1樓,48,75000
361,私立,文山區,臺北市私立和楓園幼兒園,(02)29301345,臺北市文山區辛亥路四段252巷1號1樓,40,73440
362,私立,大安區,臺北市私立奇幻幼兒園,(02)27401155,臺北市大安區忠孝東路三段217巷1弄7號1樓,38,108600
363,準公共,信義區,臺北市私立宗周幼兒園,(02)87852293,臺北市信義區松山路393巷32號,40,76986
364,準公共,文山區,臺北市私立宛的弗幼兒園,(02)29391207,臺北市文山區忠順街二段26號,22,58014
365,私立,松山區,臺北市私立宜家民權蒙特梭利幼兒園,(02)25472626,臺北市松山區民權東路3段140巷4號1樓,58,150000
366,私立,中山區,臺北市私立宜家蒙特梭利幼兒園,(02)25023113,臺北市中山區龍江路271巷5號1樓,28,150000
367,準公共,士林區,臺北市私立忠義幼兒園,(02)28310788,臺北市士林區士東路54巷11、19、21號,150,84260
368,準公共,士林區,臺北市私立怡寶幼兒園,(02)28364720,臺北市士林區中山北路六段2巷33號1樓,28,102000
369,準公共,士林區,臺北市私立怡寶資優幼兒園,(02)28364720,臺北市士林區中山北路六段2巷39號1、2樓,40,90000
370,準公共,內湖區,臺北市私立明昶幼兒園,(02)26323564,臺北市內湖區康寧路3段99巷10弄6號,25,62304
371,私立,南港區,臺北市私立東美幼兒園,(02)27868833,臺北市南港區興南街52巷29、29-1、31、31-1號,90,107760
372,準公共,內湖區,臺北市私立東湖幼兒園,(02)26310351,臺北市內湖區康樂街85巷33、35、37號1樓,60,67440
373,私立,中山區,臺北市私立松江蒙特梭利幼兒園,(02)25639885,臺北市中山區松江路124巷21、23、25號,98,154960
374,私立,松山區,臺北市私立松迪幼兒園,(02)27615555,臺北市松山區東興路2巷10號1樓,21,85160
375,準公共,士林區,臺北市私立欣光幼兒園,(02)28822302,臺北市士林區福港街259巷4號,120,83100
376,私立,南港區,臺北市私立欣苗幼兒園,(02)27823322,臺北市南港區研究院路2段12巷58弄9號,120,65500
377,私立,南港區,臺北市私立欣苗寶貝幼兒園,(02)27823322,臺北市南港區研究院路二段34巷15號1樓,17,54000
378,私立,中山區,臺北市私立河岸小百合蒙特梭利幼兒園,(02)25322766,臺北市中山區明水路397巷19弄18號,68,153000
379,準公共,士林區,臺北市私立社中幼兒園,(02)28126797,臺北市士林區社中街424號12樓,40,78708
380,準公共,萬華區,臺北市私立育光幼兒園,(02)23015139,臺北市萬華區德昌街185巷68號、70號1樓,90,65256
381,準公共,士林區,臺北市私立育成幼兒園,(02)28858002,臺北市士林區承德路四段12巷10.12.14號1樓,60,65762
382,私立,北投區,臺北市私立育奇幼兒園,(02)28911899,臺北市北投區大同街200巷1號1樓,24,58416
383,準公共,士林區,臺北市私立育強幼兒園,(02)28128829,臺北市士林區社正路45巷12號1、2樓,90,76662
384,準公共,松山區,臺北市私立育華幼兒園,(02)25706450,臺北市松山區八德路3段12巷51弄44之2號,30,89800
385,私立,松山區,臺北市私立育達高級商業家事職業學校附設臺北市私立點點幼兒園,(02)25789177,臺北市松山區南京東路四段120巷31號1樓,210,
386,準公共,大安區,臺北市私立育樂幼兒園,(02)27355304,臺北市大安區和平東路三段308巷40、42號1樓,90,64140
387,私立,大同區,臺北市私立育學幼兒園,(02)25986967,臺北市大同區民族西路162巷3號1樓,30,70740
388,私立,北投區,臺北市私立采郁蒙特梭利幼兒園,(02)28978840,臺北市北投區中央北路四段577巷27弄1號1樓,26,113178
389,私立,大安區,臺北市私立長青幼兒園,(02)27327056,臺北市大安區基隆路二段232號2樓,65,113178
390,私立,大安區,臺北市私立長青蒙特梭利幼兒園,(02)27327056,臺北市大安區基隆路二段232號3樓,65,71550
391,私立,文山區,臺北市私立阿布格小科學家幼兒園,(02)86613011,臺北市文山區興隆路四段173及175號1樓至2樓,91,75000
392,準公共,萬華區,臺北市私立青年幼兒園,(02)23370181,臺北市萬華區國興路90-7號1樓,26,94500
393,私立,松山區,臺北市私立青林幼兒園,(02)27314531,臺北市松山區敦化南路一段80巷20號1樓,26,74400
394,準公共,內湖區,臺北市私立保進幼兒園,(02)26332111,臺北市內湖區康樂街61巷15弄1號1、2樓,160,
395,私立,大安區,臺北市私立信宜幼兒園,(02)27099157,臺北市大安區安和路一段102巷17號1樓,35,110000
396,私立,大安區,臺北市私立信望愛幼兒園,(02)27330444,臺北市大安區敦化南路二段172巷3號1樓,30,46606
397,私立,信義區,臺北市私立信義蒙特梭利幼兒園,(02)27251155,臺北市信義區忠孝東路五段236巷45弄9號,99,158875
398,私立,文山區,臺北市私立勁寶兒公館幼兒園,(02)86631486,臺北市文山區萬盛街42號1樓,23,111000
399,私立,內湖區,臺北市私立勁寶兒文德幼兒園,(02)26598109,臺北市內湖區內湖路二段130號1樓,30,69396
400,私立,大安區,臺北市私立勁寶兒幼兒園,(02)27111077,臺北市大安區復興南路一段92之8號,51,102000
401,私立,松山區,臺北市私立勁寶兒民權幼兒園,(02)27199719,臺北市松山區民權東路三段106巷21弄12號1樓,36,63448
402,私立,文山區,臺北市私立南方幼兒園,(02)29328553,臺北市文山區辛亥路四段21巷12及14號1樓,20,113178
403,私立,南港區,臺北市私立南光幼兒園,(02)27823329,臺北市南港區研究院路二段61巷2弄41號,92,113178
404,私立,中正區,臺北市私立南門幼兒園,(02)23910571,臺北市中正區重慶南路三段27巷4號1樓,35,71550
405,私立,內湖區,臺北市私立咪咪幼兒園,(02)26576881,臺北市內湖區文德路66巷69弄30號1樓,47,75000
406,私立,南港區,臺北市私立咪咪陳幼兒園,(02)27820568,臺北市南港區重陽路551號1樓,30,94500
407,私立,松山區,臺北市私立哈寶寶幼兒園,(02)37653868,臺北市松山區民生東路五段69巷2弄13號,40,74400
408,私立,北投區,臺北市私立城市國際幼兒園,(02)2893-2155,臺北市北投區學園路2號2樓,100,59982
409,私立,北投區,臺北市私立奎山中學附設幼兒園,(02)28212009#11,臺北市北投區明德路200號,90,74400
410,準公共,萬華區,臺北市私立娃娃果幼兒園,(02)23069008,臺北市萬華區艋舺大道184號2樓及186號1、2樓,64,59982
411,私立,大安區,臺北市私立娃娃家蒙特梭利幼兒園,(02)27009515,臺北市大安區信義路四段61號1樓,58,126000
412,私立,士林區,臺北市私立孩子國幼兒園,(02)28881541,臺北市士林區承德路四段185號,99,99000
413,私立,中山區,臺北市私立建國幼兒園,(02)25075564,臺北市中山區建國北路二段6巷1號,90,122880
414,準公共,士林區,臺北市私立星莆幼兒園,(02)28126386,臺北市士林區社中街289、291號1樓,40,63448
415,準公共,內湖區,臺北市私立柏克立幼兒園,(02)26347688,臺北市內湖區金湖路363巷45號1樓至3樓,100,113178
416,準公共,內湖區,臺北市私立柏克萊幼兒園,(02)26333002,臺北市內湖區金湖路363巷17號,40,113178
417,私立,北投區,臺北市私立皇家幼兒園,(02)28220869,臺北市北投區榮華二路9號1樓,60,71550
418,私立,萬華區,臺北市私立盈虹幼兒園,(02)23325452,臺北市萬華區西園路二段207號2樓及2樓之1,33,75000
419,私立,中山區,臺北市私立科見幼兒園,(02)25641420,臺北市中山區松江路90巷9號2樓,75,94500
420,私立,內湖區,臺北市私立美敦幼兒園,(02)26270758,臺北市內湖區內湖路一段591巷11弄9、11號1樓,76,74400
421,準公共,萬華區,臺北市私立英才幼兒園,(02)23072584,臺北市萬華區萬大路200號,90,59982
422,私立,大安區,臺北市私立英羽幼兒園,(02)27096006,臺北市大安區復興南路二段111巷17弄7號1樓,23,
423,私立,內湖區,臺北市私立英格幼兒園,(02)2791-1809,臺北市內湖區民權東路六段180巷23號,211,130200
424,準公共,松山區,臺北市私立郁欣幼兒園,(02)25787470,臺北市松山區八德路三段106巷70號,60,79932
425,私立,中山區,臺北市私立韋斯登幼兒園,(02)25081568,臺北市中山區合江街73巷33號1樓,24,100400
426,準公共,士林區,臺北市私立飛達幼兒園,(02)28113351,臺北市士林區延平北路六段210號1樓,90,55750
427,私立,內湖區,臺北市私立家田幼兒園,(02)87918587,臺北市內湖區大湖街158巷2之3號,40,133000
428,準公共,文山區,臺北市私立家家幼兒園,(02)22307500,臺北市文山區興隆路三段二0七巷九弄11號,90,59394
429,私立,中正區,臺北市私立家緣蒙特梭利幼兒園,(02)33222686,臺北市中正區杭州南路1段131巷5號1樓,30,102000
430,私立,士林區,臺北市私立師達幼兒園,(02)28718869,臺北市士林區士東路91巷26弄12號1樓至2樓,36,56000
431,私立,內湖區,臺北市私立恩貝亞幼兒園,(02)27916484,臺北市內湖區金湖路179號1樓至2樓,80,119500
432,私立,文山區,臺北市私立書宜幼兒園,(02)89322211,臺北市文山區羅斯福路六段150巷22號1、2樓,120,104460
433,私立,大安區,臺北市私立格林菲爾幼兒園,(02)87329191,臺北市大安區安和路二段181巷6號,132,180000
434,私立,大安區,臺北市私立格登幼兒園,(02)27548168,臺北市大安區仁愛路三段26之1號,64,62500
435,私立,松山區,臺北市私立格爾幼兒園,(02)87738855,臺北市松山區八德路二段402號1至2樓,82,48250
436,私立,大同區,臺北市私立格爾登幼兒園,(02)25982833,臺北市大同區承德路三段40號1樓,35,49650
437,私立,北投區,臺北市私立桃樂絲幼兒園,(02)28930381,臺北市北投區民族街12號1、2樓,23,61100
438,準公共,大安區,臺北市私立桔子蒙特梭利幼兒園,(02)27790069,臺北市大安區仁愛路三段51巷8號1樓,26,91416
439,準公共,士林區,臺北市私立泰安幼兒園,(02)28314281,臺北市士林區中山北路五段八二九巷14.16號,90,59608
440,私立,士林區,臺北市私立浩恩幼兒園,(02)28359964,臺北市士林區忠義街91巷17.19號1樓,40,72000
441,私立,南港區,臺北市私立海格斯大千幼兒園,(02)27868889,臺北市南港區福德街310巷30、32及34號1樓,120,76962
442,私立,大同區,臺北市私立海桔斯幼兒園,(02)25532687,臺北市大同區延平北路二段286號,21,81186
443,私立,大安區,臺北市私立真心蒙特梭利幼兒園,(02)27050319,臺北市大安區安和路1段112巷20號1樓,28,123000
444,私立,松山區,臺北市私立純青幼兒園,(02)27171217,臺北市松山區光復北路190巷35號1樓,95,88000
445,私立,松山區,臺北市私立耕心幼兒園,(02)25463743,臺北市松山區南京東路四段53巷11弄2號,40,114000
446,私立,松山區,臺北市私立健寶兒幼兒園,(02)27123455,臺北市松山區敦化北路222巷11之1、13號1樓,48,62820
447,準公共,信義區,臺北市私立國泰幼兒園,(02)27617760,臺北市信義區永吉路278巷57弄16號1樓,60,72504
448,私立,大安區,臺北市私立國際蒙特梭利大安森林幼兒園,(02)27846537,臺北市大安區新生南路1段143巷20、22號1樓,42,
